model_id,estimator_name,estimator_params,test_accuracy,test_f1,cv_mean,n_features_after_preprocess,model_complexity_proxy,tool,export_status,export_error,source_path,source_size_bytes,source_size_kb,compile_status,object_size_bytes,binary_size_bytes
linearsvc_c0.1,LinearSVC,"{""C"": 0.1, ""class_weight"": null, ""dual"": ""auto"", ""fit_intercept"": true, ""intercept_scaling"": 1, ""loss"": ""squared_hinge"", ""max_iter"": 8000, ""multi_class"": ""ovr"", ""penalty"": ""l2"", ""random_state"": 0, ""tol"": 0.0001, ""verbose"": 0}",0.6124031007751938,0.6808510638297872,0.6819236544869759,1605,1605,sklearn_porter,unsupported_or_failed,ModuleNotFoundError: No module named 'sklearn.tree.tree',,,,not_compiled_export_failed,,
linearsvc_c1,LinearSVC,"{""C"": 1.0, ""class_weight"": null, ""dual"": ""auto"", ""fit_intercept"": true, ""intercept_scaling"": 1, ""loss"": ""squared_hinge"", ""max_iter"": 8000, ""multi_class"": ""ovr"", ""penalty"": ""l2"", ""random_state"": 0, ""tol"": 0.0001, ""verbose"": 0}",0.6175710594315246,0.6796536796536796,0.6785916578684197,1605,1605,m2cgen,unsupported_or_failed,RecursionError: maximum recursion depth exceeded,,,,not_compiled_export_failed,,
linearsvc_c1,LinearSVC,"{""C"": 1.0, ""class_weight"": null, ""dual"": ""auto"", ""fit_intercept"": true, ""intercept_scaling"": 1, ""loss"": ""squared_hinge"", ""max_iter"": 8000, ""multi_class"": ""ovr"", ""penalty"": ""l2"", ""random_state"": 0, ""tol"": 0.0001, ""verbose"": 0}",0.6175710594315246,0.6796536796536796,0.6785916578684197,1605,1605,micromlgen,unsupported_or_failed,"TypeError: clf MUST be one of SVC, OneClassSVM, RVC, SEFR, DecisionTreeClassifier, DecisionTreeRegressor, RandomForestClassifier, RandomForestRegressor, GaussianNB, LogisticRegression, PCA, PrincipalFFT, LinearRegression, XGBClassifier",,,,not_compiled_export_failed,,
linearsvc_c1,LinearSVC,"{""C"": 1.0, ""class_weight"": null, ""dual"": ""auto"", ""fit_intercept"": true, ""intercept_scaling"": 1, ""loss"": ""squared_hinge"", ""max_iter"": 8000, ""multi_class"": ""ovr"", ""penalty"": ""l2"", ""random_state"": 0, ""tol"": 0.0001, ""verbose"": 0}",0.6175710594315246,0.6796536796536796,0.6785916578684197,1605,1605,sklearn_porter,unsupported_or_failed,ModuleNotFoundError: No module named 'sklearn.tree.tree',,,,not_compiled_export_failed,,
linearsvc_c10,LinearSVC,"{""C"": 10.0, ""class_weight"": null, ""dual"": ""auto"", ""fit_intercept"": true, ""intercept_scaling"": 1, ""loss"": ""squared_hinge"", ""max_iter"": 8000, ""multi_class"": ""ovr"", ""penalty"": ""l2"", ""random_state"": 0, ""tol"": 0.0001, ""verbose"": 0}",0.6175710594315246,0.6796536796536796,0.6780188395081826,1605,1605,m2cgen,unsupported_or_failed,RecursionError: maximum recursion depth exceeded,,,,not_compiled_export_failed,,
linearsvc_c10,LinearSVC,"{""C"": 10.0, ""class_weight"": null, ""dual"": ""auto"", ""fit_intercept"": true, ""intercept_scaling"": 1, ""loss"": ""squared_hinge"", ""max_iter"": 8000, ""multi_class"": ""ovr"", ""penalty"": ""l2"", ""random_state"": 0, ""tol"": 0.0001, ""verbose"": 0}",0.6175710594315246,0.6796536796536796,0.6780188395081826,1605,1605,micromlgen,unsupported_or_failed,"TypeError: clf MUST be one of SVC, OneClassSVM, RVC, SEFR, DecisionTreeClassifier, DecisionTreeRegressor, RandomForestClassifier, RandomForestRegressor, GaussianNB, LogisticRegression, PCA, PrincipalFFT, LinearRegression, XGBClassifier",,,,not_compiled_export_failed,,
linearsvc_c10,LinearSVC,"{""C"": 10.0, ""class_weight"": null, ""dual"": ""auto"", ""fit_intercept"": true, ""intercept_scaling"": 1, ""loss"": ""squared_hinge"", ""max_iter"": 8000, ""multi_class"": ""ovr"", ""penalty"": ""l2"", ""random_state"": 0, ""tol"": 0.0001, ""verbose"": 0}",0.6175710594315246,0.6796536796536796,0.6780188395081826,1605,1605,sklearn_porter,unsupported_or_failed,ModuleNotFoundError: No module named 'sklearn.tree.tree',,,,not_compiled_export_failed,,
dtree_d3_leaf1,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 3, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.5891472868217055,0.7414634146341463,0.6945171393477635,1605,13,m2cgen,success,,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122030/c_sources/dtree_d3_leaf1__m2cgen.c,1186.0,1.158203125,compile_only_success,1224.0,
dtree_d3_leaf1,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 3, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.5891472868217055,0.7414634146341463,0.6945171393477635,1605,13,micromlgen,success,,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122030/c_sources/dtree_d3_leaf1__micromlgen.h,1633.0,1.5947265625,skipped_non_compilable_suffix,,
dtree_d3_leaf1,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 3, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.5891472868217055,0.7414634146341463,0.6945171393477635,1605,13,sklearn_porter,unsupported_or_failed,ModuleNotFoundError: No module named 'sklearn.tree.tree',,,,not_compiled_export_failed,,
dtree_d3_leaf5,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 3, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.5891472868217055,0.7406199021207178,0.6900019725037388,1605,13,m2cgen,success,,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122030/c_sources/dtree_d3_leaf5__m2cgen.c,1217.0,1.1884765625,compile_only_success,1416.0,
dtree_d3_leaf5,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 3, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.5891472868217055,0.7406199021207178,0.6900019725037388,1605,13,micromlgen,success,,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122030/c_sources/dtree_d3_leaf5__micromlgen.h,1658.0,1.619140625,skipped_non_compilable_suffix,,
dtree_d3_leaf5,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 3, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.5891472868217055,0.7406199021207178,0.6900019725037388,1605,13,sklearn_porter,unsupported_or_failed,ModuleNotFoundError: No module named 'sklearn.tree.tree',,,,not_compiled_export_failed,,
dtree_d5_leaf1,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.5968992248062015,0.7346938775510204,0.6799730642217179,1605,37,m2cgen,success,,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122030/c_sources/dtree_d5_leaf1__m2cgen.c,3334.0,3.255859375,compile_only_success,1928.0,
dtree_d5_leaf1,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.5968992248062015,0.7346938775510204,0.6799730642217179,1605,37,micromlgen,success,,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122030/c_sources/dtree_d5_leaf1__micromlgen.h,4581.0,4.4736328125,skipped_non_compilable_suffix,,
dtree_d5_leaf1,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.5968992248062015,0.7346938775510204,0.6799730642217179,1605,37,sklearn_porter,unsupported_or_failed,ModuleNotFoundError: No module named 'sklearn.tree.tree',,,,not_compiled_export_failed,,
dtree_d5_leaf5,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.599483204134367,0.7359454855195912,0.6739873015933144,1605,37,m2cgen,success,,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122030/c_sources/dtree_d5_leaf5__m2cgen.c,3579.0,3.4951171875,compile_only_success,2824.0,
dtree_d5_leaf5,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.599483204134367,0.7359454855195912,0.6739873015933144,1605,37,micromlgen,success,,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122030/c_sources/dtree_d5_leaf5__micromlgen.h,4671.0,4.5615234375,skipped_non_compilable_suffix,,
dtree_d5_leaf5,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.599483204134367,0.7359454855195912,0.6739873015933144,1605,37,sklearn_porter,unsupported_or_failed,ModuleNotFoundError: No module named 'sklearn.tree.tree',,,,not_compiled_export_failed,,
dtree_d8_leaf1,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 8, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.599483204134367,0.7313691507798961,0.6425337651413554,1605,83,m2cgen,success,,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122030/c_sources/dtree_d8_leaf1__m2cgen.c,8425.0,8.2275390625,compile_only_success,2720.0,
dtree_d8_leaf1,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 8, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.599483204134367,0.7313691507798961,0.6425337651413554,1605,83,micromlgen,success,,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122030/c_sources/dtree_d8_leaf1__micromlgen.h,11343.0,11.0771484375,skipped_non_compilable_suffix,,
dtree_d8_leaf1,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 8, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.599483204134367,0.7313691507798961,0.6425337651413554,1605,83,sklearn_porter,unsupported_or_failed,ModuleNotFoundError: No module named 'sklearn.tree.tree',,,,not_compiled_export_failed,,
dtree_d8_leaf5,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 8, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 0, ""splitter"": ""best""}",0.5943152454780362,0.7269565217391304,0.6259468165559907,1605,81,m2cgen,success,,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122030/c_sources/dtree_d8_leaf5__m2cgen.c,8830.0,8.623046875,compile_only_success,4864.0,
