,HOME_TEAM_ID,VISITOR_TEAM_ID,HOME_TEAM_WINS,DAY_OF_YEAR
0,1610612740,1610612759,1,51.0
1,1610612762,1610612764,1,51.0
2,1610612739,1610612749,1,51.0
3,1610612755,1610612765,1,51.0
4,1610612737,1610612741,0,51.0
5,1610612738,1610612754,0,51.0
6,1610612751,1610612744,1,51.0
7,1610612752,1610612761,0,51.0
8,1610612745,1610612753,0,51.0
9,1610612750,1610612742,0,51.0
10,1610612760,1610612757,1,51.0
11,1610612758,1610612747,1,51.0
12,1610612746,1610612766,1,51.0
13,1610612765,1610612762,0,51.0
14,1610612748,1610612741,0,51.0
15,1610612752,1610612744,1,51.0
16,1610612756,1610612764,0,51.0
17,1610612743,1610612763,1,51.0
18,1610612739,1610612762,1,51.0
19,1610612755,1610612761,1,51.0
20,1610612737,1610612753,1,51.0
21,1610612745,1610612759,0,51.0
22,1610612750,1610612742,1,51.0
23,1610612740,1610612749,0,51.0
24,1610612760,1610612757,1,51.0
25,1610612756,1610612747,1,51.0
26,1610612758,1610612766,0,51.0
27,1610612738,1610612753,0,50.0
28,1610612754,1610612752,0,50.0
29,1610612765,1610612751,0,50.0
30,1610612761,1610612744,0,50.0
31,1610612750,1610612741,1,50.0
32,1610612743,1610612766,1,50.0
33,1610612747,1610612764,1,50.0
34,1610612746,1610612764,1,50.0
35,1610612759,1610612748,0,50.0
36,1610612739,1610612742,1,50.0
37,1610612745,1610612757,0,50.0
38,1610612749,1610612762,1,50.0
39,1610612760,1610612763,1,50.0
40,1610612756,1610612740,1,50.0
41,1610612766,1610612737,0,50.0
42,1610612765,1610612758,0,50.0
43,1610612738,1610612753,0,50.0
44,1610612739,1610612754,1,50.0
45,1610612755,1610612744,1,50.0
46,1610612761,1610612751,0,50.0
47,1610612741,1610612752,0,50.0
48,1610612760,1610612750,0,50.0
49,1610612742,1610612757,1,50.0
50,1610612747,1610612743,1,50.0
51,1610612745,1610612748,0,50.0
52,1610612763,1610612749,1,50.0
53,1610612762,1610612740,1,50.0
54,1610612746,1610612756,0,50.0
55,1610612766,1610612765,0,50.0
56,1610612754,1610612744,1,50.0
57,1610612753,1610612737,1,50.0
58,1610612761,1610612758,0,50.0
59,1610612741,1610612752,0,50.0
60,1610612760,1610612748,0,50.0
61,1610612759,1610612757,0,50.0
62,1610612742,1610612739,0,50.0
63,1610612743,1610612764,1,50.0
64,1610612746,1610612750,1,50.0
65,1610612755,1610612758,1,50.0
66,1610612749,1610612744,1,50.0
67,1610612745,1610612756,1,50.0
68,1610612762,1610612740,1,50.0
69,1610612747,1610612738,0,50.0
70,1610612754,1610612748,0,50.0
71,1610612764,1610612751,0,50.0
72,1610612763,1610612737,1,50.0
73,1610612742,1610612760,1,50.0
74,1610612759,1610612739,1,50.0
75,1610612757,1610612750,1,50.0
76,1610612746,1610612738,1,50.0
77,1610612740,1610612756,1,49.0
78,1610612765,1610612747,0,49.0
79,1610612752,1610612758,1,49.0
80,1610612753,1610612761,1,49.0
81,1610612755,1610612766,1,49.0
82,1610612737,1610612741,1,49.0
83,1610612745,1610612749,1,49.0
84,1610612748,1610612759,0,49.0
85,1610612754,1610612751,0,49.0
86,1610612764,1610612746,0,49.0
87,1610612739,1610612760,1,49.0
88,1610612741,1610612742,1,49.0
89,1610612744,1610612738,1,49.0
90,1610612743,1610612762,1,49.0
91,1610612757,1610612750,1,49.0
92,1610612766,1610612752,0,49.0
93,1610612754,1610612764,1,49.0
94,1610612753,1610612761,1,49.0
95,1610612751,1610612737,1,49.0
96,1610612739,1610612758,0,49.0
97,1610612755,1610612747,1,49.0
98,1610612763,1610612765,1,49.0
99,1610612740,1610612756,1,49.0
100,1610612762,1610612750,0,49.0
101,1610612742,1610612749,0,49.0
102,1610612748,1610612746,1,49.0
103,1610612759,1610612745,1,49.0
104,1610612757,1610612743,0,49.0
105,1610612753,1610612746,1,49.0
106,1610612751,1610612766,1,49.0
107,1610612752,1610612737,1,49.0
108,1610612761,1610612747,1,49.0
109,1610612741,1610612764,1,49.0
110,1610612763,1610612760,1,49.0
111,1610612749,1610612758,1,49.0
112,1610612750,1610612754,1,49.0
113,1610612740,1610612765,1,49.0
114,1610612762,1610612744,1,49.0
115,1610612756,1610612738,0,49.0
116,1610612739,1610612747,1,49.0
117,1610612748,1610612765,0,49.0
