,GAME_ID,HOME_TEAM_ID,HOME_P1,HOME_P2,HOME_P3,HOME_P4,HOME_P5,HOME_P6,HOME_P7,HOME_P8,HOME_P9,VISITOR_TEAM_ID,VISITOR_P1,VISITOR_P2,VISITOR_P3,VISITOR_P4,VISITOR_P5,VISITOR_P6,VISITOR_P7,VISITOR_P8,VISITOR_P9,DAY,WEEK,MONTH,HOME_TEAM_WINS
30,12100031,1610612744,201939,1629673,203110,1626172,203490,2738,1629308,202357,1627814,1610612747,1629134,203145,2730,201599,1628370,1629659,201961,200765,2544,281.0,40.0,10.0,1
31,12100032,1610612738,1628369,203935,201143,1629057,1626196,1629641,1630202,1629684,202683,1610612761,1630567,1628384,1627832,1630173,1629018,1629004,1630551,1630201,201609,282.0,40.0,10.0,1
32,12100033,1610612764,203078,1628398,203915,1629655,1626149,203484,1630166,202722,203526,1610612752,1629628,1630167,1630579,203095,202692,201959,202689,1630193,1628995,282.0,40.0,10.0,0
33,12100034,1610612763,1629634,1630583,1630533,1630214,1629723,1629633,1626145,1630582,1630217,1610612737,203992,1628381,1628989,1629629,1630536,201568,203524,101150,1630552,282.0,40.0,10.0,0
34,12100035,1610612753,1628976,1630175,203914,1628964,203082,1630591,1630532,1630181,202734,1610612759,1628401,1627749,1630170,1628966,1629640,1629022,1627751,1629234,203926,283.0,40.0,10.0,0
35,12100036,1610612739,1630596,1629685,1628374,1628386,1626224,1630698,1630171,201567,201937,1610612741,1628366,201942,202696,203897,1627936,1628993,1627884,1629750,1628972,283.0,40.0,10.0,0
36,12100037,1610612749,1628960,1629670,1630572,201572,1629620,1626192,203114,203507,201950,1610612760,1630581,1629647,1630544,1630526,1629652,1628983,1630197,1629660,1629603,283.0,40.0,10.0,1
37,12100038,1610612747,203076,201566,203145,201961,1630559,1629134,201599,2546,200765,1610612756,1628969,203109,1629013,101108,1629028,1626166,1629661,1630188,201580,283.0,40.0,10.0,0
38,12100039,1610612761,1630567,1629004,1630173,1629018,203920,1628384,1630201,1627832,1630688,1610612745,1629645,1626174,1630224,1630256,1629717,1630578,1630528,1628464,203957,284.0,41.0,10.0,1
39,12100040,1610612748,1629639,1629130,200768,1628389,200782,202693,1629622,1629216,1628997,1610612766,1629667,1628998,1628970,1630163,1630547,1629023,202397,1630208,1628411,284.0,41.0,10.0,1
40,12100041,1610612755,1627788,1630194,1627885,1630198,201980,1627777,203083,1630565,1630531,1610612751,201935,203925,201142,1628975,201933,201988,200794,201949,1628971,284.0,41.0,10.0,1
41,12100042,1610612763,1629630,1628991,203500,1629001,203937,1630217,1629634,1629723,1630214,1610612765,1628367,1626168,203924,1628977,1628402,1630165,203482,202709,1630191,284.0,41.0,10.0,1
42,12100043,1610612762,1628378,202711,1626220,203497,201144,204060,203903,1629672,202355,1610612740,1630230,1630530,1630529,1629638,202685,1630184,1628984,202066,203107,284.0,41.0,10.0,1
43,12100044,1610612757,1629014,1629604,1628372,1626204,1629833,1626188,202335,1630535,203994,1610612758,1630558,1629002,203090,1629056,203084,1628368,1626158,1630186,203458,284.0,41.0,10.0,0
44,12100045,1610612746,201587,1628379,1629611,1627826,202339,1630527,1630206,1629599,1626159,1610612750,1630162,1626157,1630183,1627736,1626156,1629669,1629675,1627752,1629020,284.0,41.0,10.0,0
45,12100046,1610612764,1628398,203078,1629655,203915,203484,1626149,1630166,202722,1630557,1610612761,1630201,1630567,1629018,201609,1630173,1630688,203920,1629004,1630625,285.0,41.0,10.0,0
46,12100047,1610612747,203076,201566,1630559,2544,2546,1630602,200765,203145,2730,1610612744,2738,1626172,1627814,203952,1630541,1629308,203490,1629673,1629185,285.0,41.0,10.0,0
47,12100048,1610612766,1629667,1628998,203486,1630547,202397,1630575,1630539,1630208,1628970,1610612742,1629029,203501,204001,1628467,1627827,203939,1628973,1628425,1626161,286.0,41.0,10.0,0
48,12100049,1610612754,1630537,1627734,1626167,204456,202954,1628470,203087,1630543,1629052,1610612763,1630241,1630533,1630583,1629723,1630582,1629634,1630214,1629681,1630651,286.0,41.0,10.0,1
49,12100050,1610612753,1630175,1628976,1630532,1630181,1628964,201577,1629649,1630288,203914,1610612738,1629641,1629684,1630174,1629057,1629726,1629033,1627853,1630202,203953,286.0,41.0,10.0,1
50,12100051,1610612752,1629628,203944,201959,201565,203095,202692,1630193,1630167,1628995,1610612765,1628367,203924,1628402,1630240,1630191,203482,202709,1628977,1630691,286.0,41.0,10.0,1
