GAME_ID,HOME_TEAM_ID,HOME_P1,HOME_P2,HOME_P3,HOME_P4,HOME_P5,HOME_P6,HOME_P7,HOME_P8,HOME_P9
12200010,1610612763,1630583,1630217,1629723,1628415,1630533,1629630,1629634,203500,1626145
12200011,1610612743,202397,1628971,201145,1630192,1628432,1631128,1628427,201599,203999
12200012,1610612747,1631108,1629308,1627745,1629134,1629117,1630559,1631306,1628418,203076
12200013,1610612746,1629599,1629875,1630527,1631217,1626181,1631351,1627826,202331,202695
12200014,1610612752,1628392,1629628,1630540,1630167,1630193,1628973,203944,1629011,203095
12200015,1610612748,1630209,1629639,1628389,1629622,1628997,1630585,1629312,1629130,200768
12200016,1610612741,202696,201942,1630245,1629750,1631207,203083,203897,1630172,1627936
12200017,1610612757,1629014,203081,1630553,203924,203994,1628404,1626159,1631101,1629642
12200018,1610612766,1626179,1630163,1626162,1629023,203486,1630547,1630208,1630550,1629667
12200019,1610612755,1629003,1627788,201935,203954,1630194,200782,202699,1626149,1630178
12200020,1610612738,1628369,1627759,203935,1630573,201143,1628401,1627763,1629684,1630202
12200021,1610612760,1631114,1631172,1630647,1629026,1630598,1630322,1629647,1630197,1630544
12200022,1610612747,1630559,1631306,201566,1629117,201976,1629134,1631108,2544,1629308
12200023,1610612737,203200,1627749,1629027,1630168,1628988,1629631,1628381,203991,1626163
12200024,1610612751,201142,1627732,1626220,1629139,1630560,201988,1628410,1629651,1630556
12200026,1610612759,1630170,1631110,1630200,1627751,203926,1628966,1626196,1628380,1631104
12200028,1610612747,1630590,1631108,1628418,1631306,1629022,1630559,1628407,1629308,1630346
12200029,1610612766,1630163,1626179,1630547,1629023,1626162,203486,1630550,1629667,1631109
12200030,1610612752,1629628,1628973,203944,1629629,1630540,1630167,1630193,1629011,1628392
12200031,1610612741,201942,202696,203897,1630245,1629750,1630172,1629632,201609,1627936
12200032,1610612745,1630231,1630227,1630224,1631106,1629645,1628981,1630528,1630256,1630586
12200033,1610612763,1630217,1628415,1629630,1630583,203500,1630533,1630214,1629634,1626145
12200034,1610612740,1630700,1630530,1630631,1629637,1628984,1629627,1630230,202066,202685
