model_id,tool,source_path,compile_status,object_path,binary_path,object_size_bytes,binary_size_bytes,object_text_bytes,object_data_bytes,object_bss_bytes,object_total_bytes,object_size_raw,binary_text_bytes,binary_data_bytes,binary_bss_bytes,binary_total_bytes,binary_size_raw,compile_stderr,link_stderr
dtree_d5_leaf1,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/dtree_d5_leaf1__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
dtree_d5_leaf1,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
dtree_d5_leaf5,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/dtree_d5_leaf5__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/compiled/dtree_d5_leaf5__m2cgen.o,,2824.0,,824.0,0.0,0.0,856.0,"__TEXT	__DATA	__OBJC	others	dec	hex
824	0	0	32	856	358",,,,,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
dtree_d5_leaf5,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/dtree_d5_leaf5__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
dtree_d5_leaf5,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
dtree_d8_leaf1,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/dtree_d8_leaf1__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/compiled/dtree_d8_leaf1__m2cgen.o,,2720.0,,1088.0,0.0,0.0,1120.0,"__TEXT	__DATA	__OBJC	others	dec	hex
1088	0	0	32	1120	460",,,,,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
dtree_d8_leaf1,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/dtree_d8_leaf1__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
dtree_d8_leaf1,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
dtree_d8_leaf5,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/dtree_d8_leaf5__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/compiled/dtree_d8_leaf5__m2cgen.o,,4864.0,,1596.0,0.0,0.0,1628.0,"__TEXT	__DATA	__OBJC	others	dec	hex
1596	0	0	32	1628	65c",,,,,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
dtree_d8_leaf5,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/dtree_d8_leaf5__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
