model_id,estimator_name,estimator_params,test_accuracy,test_f1,cv_mean,n_features_after_preprocess,model_complexity_proxy,tool,export_status,export_error,source_path,source_size_bytes,source_size_kb,compile_status,object_size_bytes,binary_size_bytes
logreg_liblinear_c0.1,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",,,,,,m2cgen,fit_failed,PermissionError: [Errno 1] Operation not permitted,,,,skipped_fit_failed,,
logreg_liblinear_c0.1,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",,,,,,micromlgen,fit_failed,PermissionError: [Errno 1] Operation not permitted,,,,skipped_fit_failed,,
logreg_liblinear_c0.1,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",,,,,,sklearn_porter,fit_failed,PermissionError: [Errno 1] Operation not permitted,,,,skipped_fit_failed,,
logreg_liblinear_c1,LogisticRegression,"{""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",,,,,,m2cgen,fit_failed,PermissionError: [Errno 1] Operation not permitted,,,,skipped_fit_failed,,
logreg_liblinear_c1,LogisticRegression,"{""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",,,,,,micromlgen,fit_failed,PermissionError: [Errno 1] Operation not permitted,,,,skipped_fit_failed,,
logreg_liblinear_c1,LogisticRegression,"{""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",,,,,,sklearn_porter,fit_failed,PermissionError: [Errno 1] Operation not permitted,,,,skipped_fit_failed,,
logreg_liblinear_c10,LogisticRegression,"{""C"": 10.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",,,,,,m2cgen,fit_failed,PermissionError: [Errno 1] Operation not permitted,,,,skipped_fit_failed,,
logreg_liblinear_c10,LogisticRegression,"{""C"": 10.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",,,,,,micromlgen,fit_failed,PermissionError: [Errno 1] Operation not permitted,,,,skipped_fit_failed,,
logreg_liblinear_c10,LogisticRegression,"{""C"": 10.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",,,,,,sklearn_porter,fit_failed,PermissionError: [Errno 1] Operation not permitted,,,,skipped_fit_failed,,
logreg_lbfgs_c0.1,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",,,,,,m2cgen,fit_failed,PermissionError: [Errno 1] Operation not permitted,,,,skipped_fit_failed,,
