model_id,tool,source_path,compile_status,object_path,binary_path,object_size_bytes,binary_size_bytes,compile_stderr,link_stderr
dtree_d8_leaf1,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/dtree_d8_leaf1__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/compiled/dtree_d8_leaf1__m2cgen.o,,2720.0,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
dtree_d8_leaf1,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/dtree_d8_leaf1__micromlgen.h,skipped_non_compilable_suffix,,,,,,
dtree_d8_leaf1,sklearn_porter,,not_compiled_export_failed,,,,,,
dtree_d8_leaf5,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/dtree_d8_leaf5__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/compiled/dtree_d8_leaf5__m2cgen.o,,4864.0,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
dtree_d8_leaf5,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/dtree_d8_leaf5__micromlgen.h,skipped_non_compilable_suffix,,,,,,
dtree_d8_leaf5,sklearn_porter,,not_compiled_export_failed,,,,,,
rf_n10_d5,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/rf_n10_d5__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/compiled/rf_n10_d5__m2cgen.o,,4912.0,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
rf_n10_d5,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/rf_n10_d5__micromlgen.h,skipped_non_compilable_suffix,,,,,,
rf_n10_d5,sklearn_porter,,not_compiled_export_failed,,,,,,
rf_n10_d10,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/rf_n10_d10__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/compiled/rf_n10_d10__m2cgen.o,,10968.0,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
rf_n10_d10,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/rf_n10_d10__micromlgen.h,skipped_non_compilable_suffix,,,,,,
rf_n10_d10,sklearn_porter,,not_compiled_export_failed,,,,,,
rf_n30_d5,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/rf_n30_d5__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/compiled/rf_n30_d5__m2cgen.o,,14152.0,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
rf_n30_d5,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/rf_n30_d5__micromlgen.h,skipped_non_compilable_suffix,,,,,,
rf_n30_d5,sklearn_porter,,not_compiled_export_failed,,,,,,
rf_n30_d10,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/rf_n30_d10__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/compiled/rf_n30_d10__m2cgen.o,,30680.0,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
rf_n30_d10,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/rf_n30_d10__micromlgen.h,skipped_non_compilable_suffix,,,,,,
rf_n30_d10,sklearn_porter,,not_compiled_export_failed,,,,,,
rf_n100_d5,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/rf_n100_d5__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/compiled/rf_n100_d5__m2cgen.o,,47328.0,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
rf_n100_d5,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/rf_n100_d5__micromlgen.h,skipped_non_compilable_suffix,,,,,,
rf_n100_d5,sklearn_porter,,not_compiled_export_failed,,,,,,
rf_n100_d10,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/rf_n100_d10__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/compiled/rf_n100_d10__m2cgen.o,,101936.0,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
rf_n100_d10,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/rf_n100_d10__micromlgen.h,skipped_non_compilable_suffix,,,,,,
rf_n100_d10,sklearn_porter,,not_compiled_export_failed,,,,,,
extratrees_n30_d10,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/c_sources/extratrees_n30_d10__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122058/compiled/extratrees_n30_d10__m2cgen.o,,117616.0,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
extratrees_n30_d10,micromlgen,,not_compiled_export_failed,,,,,,
extratrees_n30_d10,sklearn_porter,,not_compiled_export_failed,,,,,,
